رقم البلوك / Block Number2,رقم القطعة / Land Number,النموذج / Model,مساحة الأرض / Land Area,Build-UP Area,عدد غرف النوم / Number of Bedrooms,عدد دورات المياه / Number Of Bathrooms ,Master Bedroom size / مساحة غرفة النوم الرئيسية,Living Room size / مساحة غرفة المعيشة,Kitchen size / مساحة المطبخ,Guestroom size / مساحة المجلس,Unit front compass / واجهة الوحدة,Availability,,,,
14,255,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,North,Reserved,,,,
14,256,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,South,Reserved,,,,
14,257,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,North,Reserved,,,,
14,258,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,South,Reserved,,,,
14,259,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,North,Reserved,,,,
14,260,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,South,Reserved,,,,
14,261,B (Zero Lot),325.000,338.127,3,6,23.25,15.21,17.43,20.12,North,Reserved,,,,
14,262,B (Zero Lot),325.000,338.127,3,6,23.25,15.21,17.43,20.12,South,Reserved,,,,
16,263,B (Zero Lot),325.000,338.127,3,6,23.25,15.21,17.43,20.12,North,Reserved,,,,
16,264,B (Zero Lot),325.000,338.127,3,6,23.25,15.21,17.43,20.12,South,Reserved,,,,
16,265,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,North,Reserved,,,,
16,266,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
16,267,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,North,Reserved,,,,
16,268,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
16,269,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,North,Reserved,,,,
16,270,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
16,271,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,North,Reserved,,,,
16,272,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,South,Reserved,,,,
16,273,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,North,Reserved,,,,
16,274,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,South,Reserved,,,,
16,275,B (Duplex),250.000,338.127,3,6,23.25,15.21,17.43,20.12,North,Reserved,,,,
16,276,B (Duplex),250.000,338.127,3,6,23.25,15.21,17.43,20.12,South,Reserved,,,,
16,277,B (Duplex),250.000,338.127,3,6,23.25,15.21,17.43,20.12,North,Reserved,,,,
16,278,B (Duplex),250.000,338.127,3,6,23.25,15.21,17.43,20.12,South,Reserved,,,,
16,279,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,North,Reserved,,,,
16,280,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,South,Reserved,,,,
16,281,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,North,Reserved,,,,
16,282,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,South,Reserved,,,,
16,283,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,North,Reserved,,,,
16,284,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
16,285,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,North,Reserved,,,,
16,286,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
16,287,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,North,Reserved,,,,
16,288,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
16,289,B (Zero Lot),250.000,338.127,3,6,23.25,15.21,17.43,20.12,North,Reserved,,,,
16,290,B (Zero Lot),250.000,338.127,3,6,23.25,15.21,17.43,20.12,South,Reserved,,,,
15,292,B (Zero Lot),250.000,338.127,3,6,23.25,15.21,17.43,20.12,South,Reserved,,,,
15,291,B (Zero Lot),250.000,338.127,3,6,23.25,15.21,17.43,20.12,North,Reserved,,,,
15,293,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,North,Reserved,,,,
15,294,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,South,Reserved,,,,
15,295,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,North,Reserved,,,,
15,296,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,South,Reserved,,,,
15,297,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,North,Reserved,,,,
15,298,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,South,Reserved,,,,
15,299,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,North,Reserved,,,,
15,300,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
15,301,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,North,Reserved,,,,
15,302,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
15,303,B (Duplex),250.000,338.127,3,6,23.25,15.21,17.43,20.12,North,Reserved,,,,
15,304,B (Duplex),250.000,338.127,3,6,23.25,15.21,17.43,20.12,South,Reserved,,,,
15,305,B (Duplex),250.000,338.127,3,6,23.25,15.21,17.43,20.12,North,Reserved,,,,
15,306,B (Duplex),250.000,338.127,3,6,23.25,15.21,17.43,20.12,South,Reserved,,,,
15,307,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,North,Reserved,,,,
15,308,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
15,309,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,North,Reserved,,,,
15,310,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
15,311,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,North,Reserved,,,,
15,312,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,South,Reserved,,,,
15,313,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,North,Reserved,,,,
15,314,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,South,Reserved,,,,
15,315,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,North,Reserved,,,,
15,316,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,South,Reserved,,,,
15,317,B (Zero Lot),325.000,338.127,3,6,23.25,15.21,17.43,20.12,North,Reserved,,,,
15,318,B (Zero Lot),325.000,338.127,3,6,23.25,15.21,17.43,20.12,South,Reserved,,,,
17,319,B (Zero Lot),325.000,338.127,3,6,23.25,15.21,17.43,20.12,North,Reserved,,,,
17,320,B (Zero Lot),325.000,338.127,3,6,23.25,15.21,17.43,20.12,South,Reserved,,,,
17,321,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,North,Reserved,,,,
17,322,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
17,323,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,North,Reserved,,,,
17,324,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
17,325,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,North,Reserved,,,,
17,326,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
17,327,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,North,Reserved,,,,
17,328,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,South,Reserved,,,,
17,329,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,North,Reserved,,,,
17,330,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,South,Reserved,,,,
17,331,B (Duplex),250.000,338.127,3,6,23.25,15.21,17.43,20.12,North,Availabel.,,,,
17,332,B (Duplex),250.000,338.127,3,6,23.25,15.21,17.43,20.12,South,Reserved,,,,
17,333,B (Duplex),250.000,338.127,3,6,23.25,15.21,17.43,20.12,North,Reserved,,,,
17,334,B (Duplex),250.000,338.127,3,6,23.25,15.21,17.43,20.12,South,Reserved,,,,
17,335,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,North,Reserved,,,,
17,336,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,South,Reserved,,,,
17,337,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,North,Reserved,,,,
17,338,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,South,Reserved,,,,
17,339,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,North,Reserved,,,,
17,340,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
17,341,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,North,Reserved,,,,
17,342,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
17,343,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,North,Reserved,,,,
17,344,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
17,345,B (Zero Lot),250.000,338.127,3,6,23.25,15.21,17.43,20.12,North,Reserved,,,,
17,346,B (Zero Lot),250.000,338.127,3,6,23.25,15.21,17.43,20.12,South,Reserved,,,,
18,347,B (Zero Lot),250.000,338.127,3,6,23.25,15.21,17.43,20.12,North,Availabel.,,,,
18,348,B (Zero Lot),250.000,338.127,3,6,23.25,15.21,17.43,20.12,South,Reserved,,,,
18,349,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,North,Reserved,,,,
18,350,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,South,Reserved,,,,
18,351,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,North,Reserved,,,,
18,352,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,South,Reserved,,,,
18,353,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,North,Reserved,,,,
18,354,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,South,Reserved,,,,
18,355,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,North,Reserved,,,,
18,356,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
18,357,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,North,Reserved,,,,
18,358,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
18,359,B (Duplex),250.000,338.127,3,6,23.25,15.21,17.43,20.12,North,Availabel.,,,,
18,360,B (Duplex),250.000,338.127,3,6,23.25,15.21,17.43,20.12,South,Availabel.,,,,
18,361,B (Duplex),250.000,338.127,3,6,23.25,15.21,17.43,20.12,North,Availabel.,,,,
18,362,B (Duplex),250.000,338.127,3,6,23.25,15.21,17.43,20.12,South,Availabel.,,,,
18,363,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,North,Reserved,,,,
18,364,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
18,365,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,North,Reserved,,,,
18,366,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
18,367,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,North,Reserved,,,,
18,368,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,South,Reserved,,,,
18,369,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,North,Reserved,,,,
18,370,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,South,Reserved,,,,
18,371,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,North,Reserved,,,,
18,372,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,South,Reserved,,,,
18,373,B (Zero Lot),325.000,338.127,3,6,23.25,15.21,17.43,20.12,North,Reserved,,,,
18,374,B (Zero Lot),325.000,338.127,3,6,23.25,15.21,17.43,20.12,South,Reserved,,,,
20,375,B (Zero Lot),325.000,338.127,3,6,23.25,15.21,17.43,20.12,North,Reserved,,,,
20,376,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,North,Reserved,,,,
20,377,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,North,Reserved,,,,
20,378,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,North,Reserved,,,,
20,379,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,North,Reserved,,,,
20,380,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,North,Reserved,,,,
20,381,B (Duplex),250.000,338.127,3,6,23.25,15.21,17.43,20.12,North,Reserved,,,,
20,382,B (Duplex),250.000,338.127,3,6,23.25,15.21,17.43,20.12,North,Reserved,,,,
20,383,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,North,Reserved,,,,
20,384,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,North,Reserved,,,,
20,385,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,North,Reserved,,,,
20,386,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,North,Reserved,,,,
20,387,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,North,Reserved,,,,
20,388,B (Zero Lot),250.000,338.127,3,6,23.25,15.21,17.43,20.12,North,Reserved,,,,
19,389,B (Zero Lot),250.000,338.127,3,6,23.25,15.21,17.43,20.12,North,Reserved,,,,
19,390,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,North,Reserved,,,,
19,391,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,North,Reserved,,,,
19,392,B (Duplex),250.000,338.127,3,6,23.25,15.21,17.43,20.12,North,Reserved,,,,
19,393,B (Duplex),250.000,338.127,3,6,23.25,15.21,17.43,20.12,North,Availabel.,,,,
19,394,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,North,Reserved,,,,
19,395,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,North,Reserved,,,,
19,396,B (Zero Lot),362.500,338.127,3,6,23.25,15.21,17.43,20.12,North,Reserved,,,,
21,397,B (Zero Lot),362.500,338.127,3,6,23.25,15.21,17.43,20.12,South,Reserved,,,,
21,398,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
21,399,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
21,400,B (Duplex),250.000,338.127,3,6,23.25,15.21,17.43,20.12,South,Availabel.,,,,
21,401,B (Duplex),250.000,338.127,3,6,23.25,15.21,17.43,20.12,South,Reserved,,,,
21,402,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
21,403,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
21,404,B (Zero Lot),250.000,338.127,3,6,23.25,15.21,17.43,20.12,South,Reserved,,,,
22,405,B (Zero Lot),250.000,338.127,3,6,23.25,15.21,17.43,20.12,South,Reserved,,,,
22,406,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
22,407,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
22,408,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
22,409,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
22,410,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
22,411,B (Duplex),250.000,338.127,3,6,23.25,15.21,17.43,20.12,South,Reserved,,,,
22,412,B (Duplex),250.000,338.127,3,6,23.25,15.21,17.43,20.12,South,Availabel.,,,,
22,413,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
22,414,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
22,415,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
22,416,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
22,417,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
22,418,B (Zero Lot),325.000,338.127,3,6,23.25,15.21,17.43,20.12,South,Reserved,,,,
23,419,B (Zero Lot),325.000,338.127,3,6,23.25,15.21,17.43,20.12,North,Reserved,,,,
23,420,B (Zero Lot),325.000,338.127,3,6,23.25,15.21,17.43,20.12,South,Reserved,,,,
23,421,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,North,Reserved,,,,
23,422,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,South,Reserved,,,,
23,423,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,North,Reserved,,,,
23,424,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,South,Reserved,,,,
23,425,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,North,Reserved,,,,
23,426,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,South,Reserved,,,,
23,427,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,North,Reserved,,,,
23,428,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
23,429,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,North,Reserved,,,,
23,430,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
23,431,B (Duplex),250.000,338.127,3,6,23.25,15.21,17.43,20.12,North,Availabel.,,,,
23,432,B (Duplex),250.000,338.127,3,6,23.25,15.21,17.43,20.12,South,Reserved,,,,
23,433,B (Duplex),250.000,338.127,3,6,23.25,15.21,17.43,20.12,North,Reserved,,,,
23,434,B (Duplex),250.000,338.127,3,6,23.25,15.21,17.43,20.12,South,Availabel.,,,,
23,435,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,North,Reserved,,,,
23,436,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
23,437,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,North,Reserved,,,,
23,438,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
23,439,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,North,Reserved,,,,
23,440,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,South,Reserved,,,,
23,441,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,North,Reserved,,,,
23,442,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,South,Reserved,,,,
23,443,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,North,Reserved,,,,
23,444,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,South,Reserved,,,,
23,445,B (Zero Lot),250.000,338.127,3,6,23.25,15.21,17.43,20.12,North,Reserved,,,,
23,446,B (Zero Lot),250.000,338.127,3,6,23.25,15.21,17.43,20.12,South,Reserved,,,,
24,447,B (Zero Lot),250.000,338.127,3,6,23.25,15.21,17.43,20.12,North,Reserved,,,,
24,448,B (Zero Lot),250.000,338.127,3,6,23.25,15.21,17.43,20.12,South,Reserved,,,,
24,449,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,North,Reserved,,,,
24,450,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,South,Reserved,,,,
24,451,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,North,Reserved,,,,
24,452,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,South,Reserved,,,,
24,453,A (Duplex),250.000,351.046,3,6,29.55,26.40,22.62,16.00,North,Reserved,,,,
24,454,A (Duplex),250.000,351.046,3,6,29.55,26.40,22.62,16.00,South,Availabel.,,,,
24,455,A (Duplex),250.000,351.046,3,6,29.55,26.40,22.62,16.00,North,Reserved,,,,
24,456,A (Duplex),250.000,351.046,3,6,29.55,26.40,22.62,16.00,South,Availabel.,,,,
24,457,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,North,Reserved,,,,
24,458,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,South,Reserved,,,,
24,459,B (Zero Lot),375.000,338.127,3,6,23.25,15.21,17.43,20.12,North,Reserved,,,,
24,460,B (Zero Lot),375.000,338.127,3,6,23.25,15.21,17.43,20.12,South,Reserved,,,,
25,461,A (Zero Lot),400.000,351.046,3,6,29.55,26.40,22.62,16.00,East,Reserved,,,,
25,462,B (Zero Lot),275.000,338.127,3,6,23.25,15.21,17.43,20.12,East,Reserved,,,,
25,463,B (Zero Lot),275.000,338.127,3,6,23.25,15.21,17.43,20.12,West,Reserved,,,,
25,464,A (Duplex),250.000,351.046,3,6,29.55,26.40,22.62,16.00,East,Reserved,,,,
25,465,A (Duplex),250.000,351.046,3,6,29.55,26.40,22.62,16.00,West,Reserved,,,,
25,466,A (Duplex),250.000,351.046,3,6,29.55,26.40,22.62,16.00,East,Reserved,,,,
25,467,A (Duplex),250.000,351.046,3,6,29.55,26.40,22.62,16.00,West,Reserved,,,,
25,468,B (Zero Lot),300.000,338.127,3,6,23.25,15.21,17.43,20.12,East,Reserved,,,,
25,469,B (Zero Lot),300.000,338.127,3,6,23.25,15.21,17.43,20.12,West,Reserved,,,,
26,470,B (Zero Lot),325.000,338.127,3,6,23.25,15.21,17.43,20.12,North,Reserved,,,,
26,471,B (Zero Lot),325.000,338.127,3,6,23.25,15.21,17.43,20.12,South,Reserved,,,,
26,472,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,North,Reserved,,,,
26,473,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,South,Reserved,,,,
26,474,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,North,Reserved,,,,
26,475,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,South,Reserved,,,,
26,476,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,North,Reserved,,,,
26,477,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,South,Reserved,,,,
26,478,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,North,Reserved,,,,
26,479,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
26,480,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,North,Reserved,,,,
26,481,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
26,482,B (Duplex),250.000,338.127,3,6,23.25,15.21,17.43,20.12,North,Reserved,,,,
26,483,B (Duplex),250.000,338.127,3,6,23.25,15.21,17.43,20.12,South,Availabel.,,,,
26,484,B (Duplex),250.000,338.127,3,6,23.25,15.21,17.43,20.12,North,Reserved,,,,
26,485,B (Duplex),250.000,338.127,3,6,23.25,15.21,17.43,20.12,South,Availabel.,,,,
26,486,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,North,Reserved,,,,
26,487,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
26,488,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,North,Reserved,,,,
26,489,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
26,490,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,North,Reserved,,,,
26,491,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,South,Reserved,,,,
26,492,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,North,Reserved,,,,
26,493,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,South,Reserved,,,,
26,494,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,North,Reserved,,,,
26,495,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,South,Reserved,,,,
26,496,B (Zero Lot),250.000,338.127,3,6,23.25,15.21,17.43,20.12,North,Availabel.,,,,
26,497,B (Zero Lot),250.000,338.127,3,6,23.25,15.21,17.43,20.12,South,Reserved,,,,
27,498,B (Zero Lot),250.000,338.127,3,6,23.25,15.21,17.43,20.12,North,Reserved,,,,
27,499,B (Zero Lot),250.000,338.127,3,6,23.25,15.21,17.43,20.12,South,Reserved,,,,
27,500,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,North,Reserved,,,,
27,501,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
27,502,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,North,Reserved,,,,
27,503,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
27,504,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,North,Reserved,,,,
27,505,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
27,506,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,North,Reserved,,,,
27,507,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,South,Reserved,,,,
27,508,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,North,Reserved,,,,
27,509,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,South,Reserved,,,,
27,510,B (Duplex),250.000,338.127,3,6,23.25,15.21,17.43,20.12,North,Availabel.,,,,
27,511,B (Duplex),250.000,338.127,3,6,23.25,15.21,17.43,20.12,South,Availabel.,,,,
27,512,B (Duplex),250.000,338.127,3,6,23.25,15.21,17.43,20.12,North,Availabel.,,,,
27,513,B (Duplex),250.000,338.127,3,6,23.25,15.21,17.43,20.12,South,Availabel.,,,,
27,514,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,North,Reserved,,,,
27,515,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,South,Reserved,,,,
27,516,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,North,Reserved,,,,
27,517,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,South,Availabel.,,,,
27,518,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,North,Reserved,,,,
27,519,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
27,520,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,North,Reserved,,,,
